par_state,par_county,kid_race,par_pctile,shrunk_xkid_vscore2020,county_name
1,15,AIAN,75,672.5,Calhoun
1,15,Pooled,25,619.0668870523416,Calhoun
1,15,Asian,25,692.8,Calhoun
1,15,Pooled,50,654.7764760171456,Calhoun
1,15,Hispanic,25,632.1,Calhoun
1,15,White,-9,664.55,Calhoun
1,15,Black,25,590.2,Calhoun
1,15,Hispanic,-9,654.6,Calhoun
1,15,White,25,631.6,Calhoun
1,15,Hispanic,50,659.1,Calhoun
1,15,White,75,697.5,Calhoun
1,15,Pooled,75,690.4860649819494,Calhoun
1,15,Black,75,633.4,Calhoun
1,15,Black,-9,599.1337110481586,Calhoun
1,15,Pooled,-9,649.978,Calhoun
1,15,AIAN,-9,635.5,Calhoun
1,15,AIAN,50,635.5,Calhoun
1,15,Hispanic,75,686.1,Calhoun
1,15,Asian,50,708.8,Calhoun
1,15,Asian,-9,708.8,Calhoun
1,15,Black,50,611.8,Calhoun
1,15,White,50,664.55,Calhoun
1,15,AIAN,25,598.5,Calhoun
1,15,Asian,75,724.8,Calhoun
1,17,Black,-9,587.8640883977901,Chambers
1,17,Black,50,608.65,Chambers
1,17,Black,75,633.9,Chambers
1,17,Hispanic,25,629.4,Chambers
1,17,Hispanic,75,680.1,Chambers
1,17,White,50,654.25,Chambers
1,17,White,-9,653.5106382978723,Chambers
1,17,Pooled,50,640.6161117518902,Chambers
1,17,White,25,619.5,Chambers
1,17,Pooled,25,599.0262975778546,Chambers
1,17,Hispanic,50,654.75,Chambers
1,17,Pooled,-9,625.5103773584906,Chambers
1,17,Black,25,583.4,Chambers
1,17,White,75,689,Chambers
1,17,Pooled,75,682.205925925926,Chambers
1,17,Hispanic,-9,654.75,Chambers
1,19,White,-9,648.4776315789474,Cherokee
1,19,Pooled,50,653.075894689704,Cherokee
1,19,Black,25,593.4,Cherokee
1,19,Black,50,610.05,Cherokee
1,19,Pooled,-9,645.3884615384616,Cherokee
1,19,White,50,657.9,Cherokee
1,19,Pooled,75,684.0086614173229,Cherokee
1,19,Hispanic,25,614.3,Cherokee
1,19,Hispanic,50,626.45,Cherokee
1,19,Black,-9,610.05,Cherokee
1,19,White,25,623.8,Cherokee
1,19,Hispanic,75,638.6,Cherokee
